model,layer,erased_concept,nll_nats,n_tokens,n_bytes,ppl,bpb,bpb_delta,precision,seed
EleutherAI/pythia-410m,0,eng,10272.0,2521,7171,58.82539102863471,2.066568604101441,0.0836928095118965,bf16,4
EleutherAI/pythia-410m,0,dut,10884.0,2521,7171,74.98847170447597,2.1896936027102885,0.2068178081207439,bf16,4
EleutherAI/pythia-410m,0,ind,9796.0,2521,7171,48.70392484781396,1.9708047162945594,-0.012071078294985105,bf16,4
EleutherAI/pythia-410m,0,jav,9960.0,2521,7171,51.97761626037821,2.0037989969675185,0.02092320237797396,bf16,4
EleutherAI/pythia-410m,0,sun,9902.0,2521,7171,50.79543183440615,1.992130287949033,0.00925449335948847,bf16,4
EleutherAI/pythia-410m,0,ace,9950.0,2521,7171,51.7718460773153,2.001787150585021,0.018911355995476553,bf16,4
EleutherAI/pythia-410m,0,ban,9954.0,2521,7171,51.854056216588475,2.00259188913802,0.019716094548475338,bf16,4
EleutherAI/pythia-410m,0,baseline,9856.0,2521,7171,49.8769862277486,1.9828757945895445,0.0,bf16,4
EleutherAI/pythia-410m,2,eng,10414.0,2521,7171,62.233935409842246,2.0951368227329055,0.11226102814336092,bf16,4
EleutherAI/pythia-410m,2,dut,10208.0,2521,7171,57.35080216277768,2.053692787253457,0.07081699266391239,bf16,4
EleutherAI/pythia-410m,2,ind,9972.0,2521,7171,52.22562032185802,2.0062132126265158,0.023337418036971203,bf16,4
EleutherAI/pythia-410m,2,jav,9936.0,2521,7171,51.48513563921717,1.9989705656495245,0.016094771059979918,bf16,4
EleutherAI/pythia-410m,2,sun,9880.0,2521,7171,50.3540841095763,1.9877042259075386,0.004828431317994042,bf16,4
EleutherAI/pythia-410m,2,ace,9932.0,2521,7171,51.40351039173954,1.9981658270965257,0.015290032506981133,bf16,4
EleutherAI/pythia-410m,2,ban,10270.0,2521,7171,58.77874123645028,2.0661662348249417,0.08329044023539711,bf16,4
EleutherAI/pythia-410m,2,baseline,9856.0,2521,7171,49.8769862277486,1.9828757945895445,0.0,bf16,4
EleutherAI/pythia-410m,5,eng,11470.0,2521,7171,94.61176486097052,2.307587800724642,0.32471200613509743,bf16,4
EleutherAI/pythia-410m,5,dut,10456.0,2521,7171,63.279441139383515,2.103586577539395,0.12071078294985038,bf16,4
EleutherAI/pythia-410m,5,ind,10152.0,2521,7171,56.090890700819145,2.042426447511471,0.059550652921926295,bf16,4
EleutherAI/pythia-410m,5,jav,9984.0,2521,7171,52.47480770067586,2.0086274282855126,0.025751633695968,bf16,4
EleutherAI/pythia-410m,5,sun,9954.0,2521,7171,51.854056216588475,2.00259188913802,0.019716094548475338,bf16,4
EleutherAI/pythia-410m,5,ace,9956.0,2521,7171,51.89521022729945,2.0029942584145197,0.020118463824975175,bf16,4
EleutherAI/pythia-410m,5,ban,10050.0,2521,7171,53.866743747699424,2.021905614409996,0.039029819820451506,bf16,4
EleutherAI/pythia-410m,5,baseline,9856.0,2521,7171,49.8769862277486,1.9828757945895445,0.0,bf16,4
EleutherAI/pythia-410m,7,eng,14788.0,2521,7171,352.8087832845725,2.975118430437316,0.9922426358477716,bf16,4
EleutherAI/pythia-410m,7,dut,10194.0,2521,7171,57.03319568629981,2.0508762023179603,0.06800040772841576,bf16,4
