model,layer,erased_concept,nll_nats,n_tokens,n_bytes,ppl,bpb,bpb_delta,precision,seed
Qwen/Qwen2.5-1.5B,0,eng,6282.0,2070,7171,20.796456439239286,1.263841897484935,0.07685253181140483,bf16,3
Qwen/Qwen2.5-1.5B,0,dut,6062.0,2070,7171,18.699605277056015,1.2195812770699896,0.03259191139645945,bf16,3
Qwen/Qwen2.5-1.5B,0,ind,5982.0,2070,7171,17.99070206447763,1.2034865060100097,0.016497140336479532,bf16,3
Qwen/Qwen2.5-1.5B,0,jav,5918.0,2070,7171,17.44297865033288,1.1906106891620256,0.0036213234884954204,bf16,3
Qwen/Qwen2.5-1.5B,0,sun,5922.0,2070,7171,17.476717476672043,1.1914154277150246,0.004426062041494427,bf16,3
Qwen/Qwen2.5-1.5B,0,ace,5904.0,2070,7171,17.32540485476743,1.187794104226529,0.0008047385529987849,bf16,3
Qwen/Qwen2.5-1.5B,0,ban,5916.0,2070,7171,17.426133669846102,1.190208319885526,0.003218954211995806,bf16,3
Qwen/Qwen2.5-1.5B,0,baseline,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,3,eng,26104.0,2070,7171,299727.2038104416,5.251723796871496,4.064734431197966,bf16,3
Qwen/Qwen2.5-1.5B,3,dut,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,3,ind,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,3,jav,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,3,sun,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,3,ace,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,3,ban,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,3,baseline,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,6,eng,26192.0,2070,7171,312743.95406588685,5.2694280450374755,4.082438679363945,bf16,3
Qwen/Qwen2.5-1.5B,6,dut,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,6,ind,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,6,jav,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,6,sun,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,6,ace,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,6,ban,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,6,baseline,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,9,eng,27184.0,2070,7171,505026.9886791351,5.4690032061812275,4.282013840507697,bf16,3
Qwen/Qwen2.5-1.5B,9,dut,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,9,ind,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,9,jav,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,9,sun,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
Qwen/Qwen2.5-1.5B,9,ace,5900.0,2070,7171,17.291958137646148,1.1869893656735302,0.0,bf16,3
