model,layer,erased_concept,nll_nats,n_tokens,n_bytes,ppl,bpb,bpb_delta,precision,seed
bigscience/bloom-560m,0,eng,7872.0,1281,7171,466.4724973443323,1.5837254723020386,0.030982434290461436,bf16,2
bigscience/bloom-560m,0,dut,8136.0,1281,7171,573.2305869125432,1.636838216799973,0.0840951787883959,bf16,2
bigscience/bloom-560m,0,ind,7834.0,1281,7171,452.83813261651545,1.5760804560485484,0.023337418036971203,bf16,2
bigscience/bloom-560m,0,jav,7750.0,1281,7171,424.0964763853903,1.5591809464355693,0.006437908423992056,bf16,2
bigscience/bloom-560m,0,sun,7642.0,1281,7171,389.80703495201993,1.537453005504596,-0.015290032506981133,bf16,2
bigscience/bloom-560m,0,ace,7706.0,1281,7171,409.7768742834299,1.5503288223525802,-0.002414215658997021,bf16,2
bigscience/bloom-560m,0,ban,7800.0,1281,7171,440.9771121612434,1.5692401783480567,0.016497140336479532,bf16,2
bigscience/bloom-560m,0,baseline,7718.0,1281,7171,413.6335694702235,1.5527430380115772,0.0,bf16,2
bigscience/bloom-560m,2,eng,7730.0,1281,7171,417.5265626979689,1.5551572536705742,0.002414215658997021,bf16,2
bigscience/bloom-560m,2,dut,8072.0,1281,7171,545.2950848408094,1.623962399951989,0.07121936194041179,bf16,2
bigscience/bloom-560m,2,ind,7956.0,1281,7171,498.0860402679045,1.6006249819150178,0.04788194390344058,bf16,2
bigscience/bloom-560m,2,jav,7782.0,1281,7171,434.82404368887046,1.5656188548595613,0.012875816847984112,bf16,2
bigscience/bloom-560m,2,sun,7656.0,1281,7171,394.0905858721238,1.5402695904400925,-0.01247344757148472,bf16,2
bigscience/bloom-560m,2,ace,7826.0,1281,7171,450.0189160224501,1.5744709789425502,0.021727940930972967,bf16,2
bigscience/bloom-560m,2,ban,7720.0,1281,7171,414.2798717911327,1.5531454072880766,0.00040236927649939247,bf16,2
bigscience/bloom-560m,2,baseline,7718.0,1281,7171,413.6335694702235,1.5527430380115772,0.0,bf16,2
bigscience/bloom-560m,5,eng,7662.0,1281,7171,395.9407730256787,1.541476698269591,-0.011266339741986098,bf16,2
bigscience/bloom-560m,5,dut,8258.0,1281,7171,630.5081940559667,1.6613827426664425,0.10863970465486528,bf16,2
bigscience/bloom-560m,5,ind,7994.0,1281,7171,513.0827603974742,1.6082699981685085,0.05552696015693126,bf16,2
bigscience/bloom-560m,5,jav,7800.0,1281,7171,440.9771121612434,1.5692401783480567,0.016497140336479532,bf16,2
bigscience/bloom-560m,5,sun,7764.0,1281,7171,428.7568305830946,1.5619975313710657,0.00925449335948847,bf16,2
bigscience/bloom-560m,5,ace,7806.0,1281,7171,443.04742344799246,1.5704472861775551,0.01770424816597793,bf16,2
bigscience/bloom-560m,5,ban,7696.0,1281,7171,406.59044503454356,1.5483169759700828,-0.004426062041494427,bf16,2
bigscience/bloom-560m,5,baseline,7718.0,1281,7171,413.6335694702235,1.5527430380115772,0.0,bf16,2
bigscience/bloom-560m,7,eng,7676.0,1281,7171,400.29172698629554,1.5442932832050877,-0.008449754806489462,bf16,2
bigscience/bloom-560m,7,dut,8230.0,1281,7171,616.8761213312072,1.6557495727954497,0.10300653478387245,bf16,2
bigscience/bloom-560m,7,ind,8036.0,1281,7171,530.1839616188436,1.616719752974998,0.06397671496342072,bf16,2
bigscience/bloom-560m,7,jav,7772.0,1281,7171,431.4428473894157,1.5636070084770637,0.010863970465486483,bf16,2
bigscience/bloom-560m,7,sun,7630.0,1281,7171,386.17249697822047,1.5350387898455993,-0.01770424816597793,bf16,2
bigscience/bloom-560m,7,ace,7878.0,1281,7171,468.6625050557912,1.5849325801315373,0.03218954211996006,bf16,2
bigscience/bloom-560m,7,ban,7596.0,1281,7171,376.05762467394635,1.5281985121451076,-0.024544525866469602,bf16,2
bigscience/bloom-560m,7,baseline,7718.0,1281,7171,413.6335694702235,1.5527430380115772,0.0,bf16,2
bigscience/bloom-560m,10,eng,7666.0,1281,7171,397.17905434173304,1.5422814368225901,-0.01046160118898709,bf16,2
bigscience/bloom-560m,10,dut,8220.0,1281,7171,612.0792861769872,1.653737726412952,0.10099468840137482,bf16,2
bigscience/bloom-560m,10,ind,8052.0,1281,7171,536.8476163022507,1.619938707186994,0.06719566917541675,bf16,2
bigscience/bloom-560m,10,jav,7812.0,1281,7171,445.1274544882291,1.5716543940070538,0.018911355995476553,bf16,2
bigscience/bloom-560m,10,sun,7768.0,1281,7171,430.09774217546374,1.562802269924065,0.010059231912487698,bf16,2
bigscience/bloom-560m,10,ace,7898.0,1281,7171,476.03705911254605,1.5889562728965323,0.03621323488495509,bf16,2
bigscience/bloom-560m,10,ban,7766.0,1281,7171,429.42676299468917,1.562399900647565,0.009656862635987862,bf16,2
