model,layer,erased_concept,nll_nats,n_tokens,n_bytes,ppl,bpb,bpb_delta,precision,seed
google/gemma-3-270m-it,0,eng,8588.0,1563,7171,243.36484576737703,1.7277736732888604,0.006437908423992056,bf16,4
google/gemma-3-270m-it,0,dut,8960.0,1563,7171,308.7604022938744,1.8026143587177677,0.08127859385289926,bf16,4
google/gemma-3-270m-it,0,ind,8622.0,1563,7171,248.716770023701,1.7346139509893521,0.013278186124483726,bf16,4
google/gemma-3-270m-it,0,jav,8936.0,1563,7171,304.0555736148144,1.7977859273997738,0.07645016253490544,bf16,4
google/gemma-3-270m-it,0,sun,8390.0,1563,7171,214.40832927472124,1.6879391149154097,-0.03339664994945868,bf16,4
google/gemma-3-270m-it,0,ace,8810.0,1563,7171,280.5063293364388,1.772436662980305,0.05110089811543661,bf16,4
google/gemma-3-270m-it,0,ban,8556.0,1563,7171,238.432986484714,1.7213357648648684,0.0,bf16,4
google/gemma-3-270m-it,0,baseline,8556.0,1563,7171,238.432986484714,1.7213357648648684,0.0,bf16,4
google/gemma-3-270m-it,1,eng,8754.0,1563,7171,270.634108189699,1.7611703232383191,0.039834558373450735,bf16,4
google/gemma-3-270m-it,1,dut,8940.0,1563,7171,304.83470342251115,1.7985906659527726,0.07725490108790423,bf16,4
google/gemma-3-270m-it,1,ind,8768.0,1563,7171,273.0691030926677,1.7639869081738155,0.04265114330894715,bf16,4
google/gemma-3-270m-it,1,jav,8686.0,1563,7171,259.1123305244067,1.7474897678373362,0.026154002972467838,bf16,4
google/gemma-3-270m-it,1,sun,8680.0,1563,7171,258.1195641912997,1.7462826600078376,0.024946895142969217,bf16,4
google/gemma-3-270m-it,1,ace,8618.0,1563,7171,248.081072555454,1.7338092124363529,0.012473447571484497,bf16,4
google/gemma-3-270m-it,1,ban,8590.0,1563,7171,243.67645244156407,1.72817604256536,0.00684027770049167,bf16,4
google/gemma-3-270m-it,1,baseline,8556.0,1563,7171,238.432986484714,1.7213357648648684,0.0,bf16,4
google/gemma-3-270m-it,3,eng,8388.0,1563,7171,214.1341498629075,1.6875367456389103,-0.03379901922595807,bf16,4
google/gemma-3-270m-it,3,dut,8734.0,1563,7171,267.19316173031,1.757146630473324,0.0358108656084557,bf16,4
google/gemma-3-270m-it,3,ind,8550.0,1563,7171,237.51945125771397,1.72012865703537,-0.0012071078294983995,bf16,4
google/gemma-3-270m-it,3,jav,8580.0,1563,7171,242.12239871784823,1.7261641961828624,0.004828431317994042,bf16,4
google/gemma-3-270m-it,3,sun,8520.0,1563,7171,233.00400964351923,1.7140931178878773,-0.007242646976991063,bf16,4
google/gemma-3-270m-it,3,ace,8554.0,1563,7171,238.128085009046,1.7209333955883688,-0.0004023692764996145,bf16,4
google/gemma-3-270m-it,3,ban,8534.0,1563,7171,235.1004326688664,1.7169097028233737,-0.0044260620414946494,bf16,4
google/gemma-3-270m-it,3,baseline,8556.0,1563,7171,238.432986484714,1.7213357648648684,0.0,bf16,4
google/gemma-3-270m-it,5,eng,8610.0,1563,7171,246.81454782108423,1.7321997353303549,0.010863970465486483,bf16,4
google/gemma-3-270m-it,5,dut,8570.0,1563,7171,240.57825601734393,1.724152349800365,0.0028165849354966355,bf16,4
google/gemma-3-270m-it,5,ind,8494.0,1563,7171,229.16012277120404,1.708862317293384,-0.012473447571484497,bf16,4
google/gemma-3-270m-it,5,jav,8696.0,1563,7171,260.7754335014316,1.7495016142198334,0.028165849354965022,bf16,4
google/gemma-3-270m-it,5,sun,8336.0,1563,7171,207.1272488898345,1.6770751444499232,-0.04426062041494516,bf16,4
google/gemma-3-270m-it,5,ace,8480.0,1563,7171,227.11667030956758,1.7060457323578873,-0.015290032506981133,bf16,4
google/gemma-3-270m-it,5,ban,8482.0,1563,7171,227.40747266462606,1.7064481016343866,-0.01488766323048174,bf16,4
google/gemma-3-270m-it,5,baseline,8556.0,1563,7171,238.432986484714,1.7213357648648684,0.0,bf16,4
google/gemma-3-270m-it,7,eng,8844.0,1563,7171,286.6750453779622,1.7792769406807967,0.05794117581592828,bf16,4
google/gemma-3-270m-it,7,dut,8758.0,1563,7171,271.32759687718857,1.761975061791318,0.04063929692644952,bf16,4
google/gemma-3-270m-it,7,ind,8912.0,1563,7171,299.4224361653776,1.7929574960817798,0.0716217312169114,bf16,4
google/gemma-3-270m-it,7,jav,8910.0,1563,7171,299.03954307671177,1.7925551268052802,0.07121936194041179,bf16,4
google/gemma-3-270m-it,7,sun,8468.0,1563,7171,225.37964882603015,1.7036315166988902,-0.017704248165978154,bf16,4
google/gemma-3-270m-it,7,ace,8724.0,1563,7171,265.48912950324075,1.7551347840908265,0.03379901922595807,bf16,4
google/gemma-3-270m-it,7,ban,8542.0,1563,7171,236.30684661676707,1.718519179929372,-0.0028165849354964134,bf16,4
google/gemma-3-270m-it,7,baseline,8556.0,1563,7171,238.432986484714,1.7213357648648684,0.0,bf16,4
google/gemma-3-270m-it,9,eng,8478.0,1563,7171,226.82623982447788,1.7056433630813879,-0.015692401783480525,bf16,4
google/gemma-3-270m-it,9,dut,8620.0,1563,7171,248.39871793149013,1.7342115817128523,0.01287581684798389,bf16,4
google/gemma-3-270m-it,9,ind,8586.0,1563,7171,243.05363756714382,1.7273713040123608,0.006035539147492441,bf16,4
google/gemma-3-270m-it,9,jav,8642.0,1563,7171,251.91977523409483,1.738637643754347,0.01730187888947854,bf16,4
