model,layer,erased_concept,nll_nats,n_tokens,n_bytes,ppl,bpb,bpb_delta,precision,seed
google/gemma-3-4b-it,0,eng,7970.0,1563,7171,163.88554144616035,1.6034415668505144,-0.005633169870993049,bf16,2
google/gemma-3-4b-it,0,dut,8152.0,1563,7171,184.12428738161313,1.6400571710119691,0.030982434290461658,bf16,2
google/gemma-3-4b-it,0,ind,7822.0,1563,7171,149.079327985779,1.5736662403895514,-0.035408496331956085,bf16,2
google/gemma-3-4b-it,0,jav,7726.0,1563,7171,140.1983522066513,1.5543525151175752,-0.05472222160393225,bf16,2
google/gemma-3-4b-it,0,sun,8088.0,1563,7171,176.7372395894411,1.627181354163985,0.018106617442477546,bf16,2
google/gemma-3-4b-it,0,ace,7808.0,1563,7171,147.7499670303576,1.5708496554540547,-0.03822508126745272,bf16,2
google/gemma-3-4b-it,0,ban,7640.0,1563,7171,132.69268673253217,1.5370506362280967,-0.07202410049341079,bf16,2
google/gemma-3-4b-it,0,baseline,7998.0,1563,7171,166.84788575557877,1.6090747367215075,0.0,bf16,2
google/gemma-3-4b-it,3,eng,8088.0,1563,7171,176.7372395894411,1.627181354163985,0.018106617442477546,bf16,2
google/gemma-3-4b-it,3,dut,7920.0,1563,7171,158.7258504226649,1.593382334938027,-0.015692401783480525,bf16,2
google/gemma-3-4b-it,3,ind,7874.0,1563,7171,154.12252772858162,1.5841278415785385,-0.024946895142968994,bf16,2
google/gemma-3-4b-it,3,jav,8024.0,1563,7171,169.64655940775575,1.6143055373160011,0.005230800594493656,bf16,2
google/gemma-3-4b-it,3,sun,8062.0,1563,7171,173.82159038603703,1.6219505535694914,0.01287581684798389,bf16,2
google/gemma-3-4b-it,3,ace,7830.0,1563,7171,149.84432607014674,1.5752757174955492,-0.03379901922595829,bf16,2
google/gemma-3-4b-it,3,ban,7886.0,1563,7171,155.3103640889458,1.5865420572375355,-0.022532679483971974,bf16,2
google/gemma-3-4b-it,3,baseline,7998.0,1563,7171,166.84788575557877,1.6090747367215075,0.0,bf16,2
google/gemma-3-4b-it,7,eng,8298.0,1563,7171,202.15224734577603,1.6694301281964326,0.06035539147492508,bf16,2
google/gemma-3-4b-it,7,dut,7998.0,1563,7171,166.84788575557877,1.6090747367215075,0.0,bf16,2
google/gemma-3-4b-it,7,ind,8278.0,1563,7171,199.58200568475652,1.6654064354314375,0.056331698709930045,bf16,2
google/gemma-3-4b-it,7,jav,7998.0,1563,7171,166.84788575557877,1.6090747367215075,0.0,bf16,2
google/gemma-3-4b-it,7,sun,7998.0,1563,7171,166.84788575557877,1.6090747367215075,0.0,bf16,2
google/gemma-3-4b-it,7,ace,8426.0,1563,7171,219.4040280868258,1.6951817618924008,0.0861070251708933,bf16,2
google/gemma-3-4b-it,7,ban,7998.0,1563,7171,166.84788575557877,1.6090747367215075,0.0,bf16,2
google/gemma-3-4b-it,7,baseline,7998.0,1563,7171,166.84788575557877,1.6090747367215075,0.0,bf16,2
google/gemma-3-4b-it,11,eng,9642.0,1563,7171,477.6632327027286,1.9398222820040978,0.3307475452825903,bf16,2
google/gemma-3-4b-it,11,dut,8238.0,1563,7171,194.53914400089766,1.6573590499014477,0.0482843131799402,bf16,2
google/gemma-3-4b-it,11,ind,8902.0,1563,7171,297.5128607951501,1.7909456496992824,0.1818709129777749,bf16,2
google/gemma-3-4b-it,11,jav,7998.0,1563,7171,166.84788575557877,1.6090747367215075,0.0,bf16,2
google/gemma-3-4b-it,11,sun,7998.0,1563,7171,166.84788575557877,1.6090747367215075,0.0,bf16,2
google/gemma-3-4b-it,11,ace,10200.0,1563,7171,682.6018237599778,2.052083310147459,0.44300857342595146,bf16,2
google/gemma-3-4b-it,11,ban,8214.0,1563,7171,191.57479579725702,1.6525306185834536,0.043455881861946155,bf16,2
google/gemma-3-4b-it,11,baseline,7998.0,1563,7171,166.84788575557877,1.6090747367215075,0.0,bf16,2
